suite,figure_id,parameter_name,parameter_label,parameter_unit,parameter_value,method,mean_r1,std_r1,mean_r2,std_r2,mean_r3,std_r3,mean_total_handovers,std_total_handovers,policy_episode,eval_seed_count,training_episodes,checkpoint_kind
fig-3,Fig. 3,user_count,User Count,users,100.0,MODQN,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,100.0,RSS_max,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,120.0,DQN_scalar,145.58966111977895,0.37212796324770864,-0.43166666666666664,0.017598926734952395,-145.58966111978074,0.3721279632481268,103.6,4.223742416388576,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,120.0,DQN_throughput,145.58966111977895,0.37212796324770864,-0.43166666666666664,0.017598926734952395,-145.58966111978074,0.3721279632481268,103.6,4.223742416388576,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,120.0,MODQN,145.58966111977895,0.37212796324770864,-0.4133333333333333,0.008897565210026085,-145.58966111978074,0.3721279632481268,99.2,2.1354156504062622,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,120.0,RSS_max,145.58966111977895,0.37212796324770864,-0.4625,0.012076147288491209,-145.58966111978074,0.3721279632481268,111.0,2.898275349237888,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,140.0,DQN_scalar,124.79928694248198,0.2562271815737131,-0.42214285714285715,0.015551100755055164,-124.79928694248296,0.2562271815737313,118.2,4.354308211415448,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,140.0,DQN_throughput,124.79928694248198,0.2562271815737131,-0.4642857142857143,0.010594569267279518,-124.79928694248296,0.2562271815737313,130.0,2.9664793948382653,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,140.0,MODQN,124.79928694248198,0.2562271815737131,-0.425,0.01644409204745905,-124.79928694248296,0.2562271815737313,119.0,4.604345773288535,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,140.0,RSS_max,124.79928694248198,0.2562271815737131,-0.4642857142857143,0.010594569267279518,-124.79928694248296,0.2562271815737313,130.0,2.9664793948382653,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,160.0,DQN_scalar,109.23428016602993,0.1546776222341792,-0.43187500000000006,0.013607213160673282,-109.23428016602975,0.15467762223376408,138.2,4.354308211415448,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,160.0,DQN_throughput,109.23428016602993,0.1546776222341792,-0.425,0.01311011060212688,-109.23428016602975,0.15467762223376408,136.0,4.1952353926806065,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,160.0,MODQN,109.23428016602993,0.1546776222341792,-0.43187500000000006,0.013607213160673282,-109.23428016602975,0.15467762223376408,138.2,4.354308211415448,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,160.0,RSS_max,109.23428016602993,0.1546776222341792,-0.46125,0.012119199643540836,-109.23428016602975,0.15467762223376408,147.6,3.878143885933063,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,180.0,DQN_scalar,97.11136658350627,0.19281638746726878,-0.4261111111111111,0.011992796191623835,-97.11136658350668,0.19281638746777632,153.4,4.317406628984581,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,180.0,DQN_throughput,97.11136658350627,0.19281638746726878,-0.42833333333333334,0.015850380686319013,-97.11136658350668,0.19281638746777632,154.2,5.706137047074842,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,180.0,MODQN,97.11136658350627,0.19281638746726878,-0.4305555555555555,0.0131468439624436,-97.11136658350668,0.19281638746777632,155.0,4.732863826479693,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,180.0,RSS_max,97.11136658350627,0.19281638746726878,-0.4594444444444445,0.013099806802835116,-97.11136658350668,0.19281638746777632,165.4,4.715930449020639,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,200.0,DQN_scalar,87.46054534387588,0.24419926560589414,-0.429,0.012708265027138847,-87.46054534387642,0.24419926560588318,171.6,5.083306010855534,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,200.0,DQN_throughput,87.46054534387588,0.24419926560589414,-0.429,0.012708265027138847,-87.46054534387642,0.24419926560588318,171.6,5.083306010855534,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,200.0,MODQN,87.46054534387588,0.24419926560589414,-0.929,0.012708265027138831,-87.46054534387642,0.24419926560588318,371.6,5.083306010855534,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,200.0,RSS_max,87.46054534387588,0.24419926560589414,-0.4600000000000001,0.01254990039801113,-87.46054534387642,0.24419926560588318,184.0,5.019960159204453,-1,5,0,not-applicable
