method,weight_label,w1,w2,w3,mean_scalar_reward,std_scalar_reward,mean_r1,std_r1,mean_r2,std_r2,mean_r3,std_r3,mean_total_handovers,std_total_handovers,policy_episode,eval_seed_count,training_episodes,checkpoint_kind
DQN_throughput,0.0/0.0/1.0,0.0,0.0,1.0,-174.61869176864755,0.5547623678941013,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.5/0.2/0.3,0.5,0.2,0.3,34.83933835372885,0.11078204597534069,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.3/0.5/0.2,0.3,0.5,0.2,17.25086917686436,0.05525916887454872,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.2/0.5/0.3,0.2,0.5,0.3,-17.67286917686502,0.0562107636662114,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.4/0.4/0.2,0.4,0.4,0.2,34.75493835372898,0.11065329650548768,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.4/0.2/0.4,0.4,0.2,0.4,-0.0844000000005309,0.002154065922864087,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.2/0.4/0.4,0.2,0.4,0.4,-35.09253835372978,0.11141755139583934,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_scalar,1.0/1.0/1.0,1.0,1.0,1.0,-0.4190000000013242,0.009695359713847659,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
DQN_scalar,1.0/0.0/0.0,1.0,0.0,0.0,174.61869176864622,0.5547623678954213,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_scalar,0.0/1.0/0.0,0.0,1.0,0.0,-0.417,0.011661903789690611,174.61869176864622,0.5547623678954213,-0.417,0.011661903789690611,-174.61869176864755,0.5547623678941013,83.4,2.33238075793812,199,5,200,best-weighted-reward-on-eval
